onet_code,Title,Job Family,pc1,pc2,xi,chi,xi_unw,chi_unw,x_w,y_w,x_unw,y_unw,shift_xy,shift_chi,chi_wm,r,rt,rle_mean,sector,zone,sector_zone,n_core,n_supp,tightness,z,n_tasks,z_p,z_subset,z_units,tight_med,tight_std
11-3051.06,Hydroelectric Production Managers,Management,0.019276582,0.14479299,1.859900957904738,0.32574055545784386,1.4385670633190262,0.31768405840819325,0.05971754511995049,0.3202198061876112,0.04188482321202042,0.31491081682152194,0.01860621774393759,0.008056497049650557,0.40594385426727386,0.3257405554578438,1438.57,4.165716571657166,10,Z1,10-Z1,16,2,0.26965993873835575,0.37527938280886186,18,0.8,all,chi,0.22911020821534278,0.12516865211292094
11-3061.00,Purchasing Managers,Management,-0.07057584,-0.017380979,6.1630411086911385,0.15827319579416707,3.3821037124874076,0.15747618420647694,-0.1542881031012626,-0.035292856902111217,-0.15294344766639412,-0.03751067059050291,0.0025936067155486217,0.0007970115876901052,0.3230648831686485,0.15827319579416704,1684.21,5.316,35,Z1,35-Z1,18,0,0.27564609476469104,0.4252147672144034,18,0.8,all,chi,0.27637212904756847,0.1505954300656713
11-3071.04,Supply Chain Managers,Management,-0.030072827,0.089957476,1.3557114399007841,0.20268682151083547,1.8938370651750414,0.20589874339152064,-0.06372351516491671,0.19240909861332414,-0.06536286050712077,0.195248531355639,0.0032786935582844235,-0.003211921880685198,0.28234965045791843,0.20268682151083545,2261.9,6.4286,7,Z1,07-Z1,25,5,0.21679155607120365,0.30233691010906677,30,0.8,all,chi,0.20489254419603653,0.13227473457346234
11-3111.00,Compensation and Benefits Managers,Management,-0.1815742,0.016577445,0.18178734322292006,0.4000875230631935,3.0506105080802945,0.3968759666866178,-0.3989003857093926,0.03079786342815202,-0.39523447929838257,0.03605883119533625,0.006412226731926752,0.0032115563765756083,0.46027315507053074,0.4000875230631934,1185.71,6.381,1,Z2,01-Z2,13,9,0.24630663857148002,0.3311395129764021,22,0.8,all,chi,0.27373094596664554,0.10070503876794533
11-3121.00,Human Resources Managers,Management,-0.16972275,-0.036285672,6.167577617274429,0.38347641249335224,3.352275313471804,0.3778076644349753,-0.3742050948998598,-0.08381351853823144,-0.3694537247866365,-0.0790099775160782,0.006756443169622644,0.005668748058376805,0.4607569998167548,0.3834764124933521,2181.58,6.045395460453954,35,Z2,35-Z2,23,3,0.2558470517499003,0.33307863122651826,26,0.8,all,chi,0.22196632080289885,0.11381003323550844
11-3131.00,Training and Development Managers,Management,-0.18993033,0.031843603,0.2606290396421896,0.42421189731707726,2.9752558825236433,0.4195358319052182,-0.41906741612552384,0.06586527588366609,-0.4137453590447357,0.06946288304804428,0.006423944962431772,0.004676065411858943,0.5181991348449458,0.42421189731707715,1048.95,6.5,1,Z2,01-Z2,11,1,0.287210501898207,0.31828155390047735,12,0.8,all,chi,0.26573870863844695,0.1163132784403827
11-9021.00,Construction Managers,Management,-0.055623535,0.10536477,1.1796743429519025,0.2593437656948232,2.0560248655666906,0.2595038430835802,-0.1233916406042718,0.22810894729001216,-0.1210353249372802,0.2295488939038357,0.002761461528461325,-0.0001600773887570628,0.36336692900394263,0.25934376569482315,2034.21,4.5,6,Z1,06-Z1,22,3,0.2999302057655378,0.41119540474273,25,0.8,all,chi,0.3075225359721853,0.11296270995895628
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Management,-0.24742477,-0.06782421,6.110991234593372,0.5605982355255027,3.409090536090616,0.5595569074523385,-0.5392394639636409,-0.1532683339066226,-0.5396564183380064,-0.14790159845052256,0.005382908173660752,0.0010413280731639274,0.6205902836288126,0.5605982355255025,1327.7,4.1392,35,Z2,35-Z2,15,2,0.2501506673277433,0.3389245012311788,17,0.8,all,chi,0.22756377738099706,0.15520927080406488
11-9032.00,"Education Administrators, Kindergarten through Secondary",Management,-0.25327864,-0.08698658,6.064919777838233,0.5832243743496259,3.47246368599373,0.5841232844489976,-0.553064570158611,-0.18512226249369196,-0.5524402813679179,-0.18976234336037356,0.00468188924938745,-0.0008989100993718191,0.6297374451543799,0.5832243743496258,2027.72,7.6813,34,Z2,34-Z2,24,8,0.2538757313633071,0.35652758706217313,32,0.8,all,chi,0.22555965548637205,0.12506062983167834
11-9033.00,"Education Administrators, Postsecondary",Management,-0.24746333,-0.096253455,6.028854576394245,0.5799282607937459,3.5127838490244985,0.57921554317212,-0.5429439918666696,-0.2037856946970137,-0.5397686070402353,-0.2100963976512165,0.007064562305771904,0.0007127176216257247,0.6438647184113783,0.5799282607937457,991.94,9.2528,34,Z2,34-Z2,12,15,0.2358818566549879,0.34784867338553926,27,0.8,all,chi,0.20949722657860534,0.1295255156926825
11-9041.00,Architectural and Engineering Managers,Management,-0.14185831,0.15156038,0.8945285122540564,0.4396274583701322,2.3226191572140045,0.45214414358346555,-0.30949367450516074,0.31222742927916486,-0.3088015058897885,0.3302664932096873,0.018052338487896318,-0.012516685213333434,0.48429578841358534,0.4396274583701321,1242.64,7.43965603439656,5,Z2,05-Z2,14,5,0.2702631276251937,0.41594804752128256,19,0.8,all,chi,0.21057779981496938,0.1596956950816616
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,-0.06015892,0.26113907,1.4379937819785134,0.5865761725939137,1.7972121767267053,0.5843304387613438,-0.13802628956397453,0.5701055600887669,-0.131174178302129,0.5694167161313285,0.006886649021288211,0.002245733832569874,0.5990899255445684,0.5865761725939137,798.48,6.482696539307861,8,Z2,08-Z2,10,8,0.1606872739769859,0.21091872485702087,18,0.8,all,chi,0.16066605717324794,0.08090754381520905
11-9051.00,Food Service Managers,Management,-0.04732039,-0.09572013,5.265636273422402,0.22925583549487663,4.254316663720317,0.23211978048009838,-0.09941151613603603,-0.20658070715337518,-0.10264800415247444,-0.20818976856138405,0.0036144063544782667,-0.0028639449852218,0.3807939270888728,0.22925583549487658,1603.68,3.0893089308930892,30,Z1,30-Z1,19,9,0.2992265026954567,0.33806917356287164,28,0.8,all,chi,0.2889265430791533,0.12252177222326345
11-9071.00,Gambling Managers,Management,-0.05322592,-0.1164118,5.254731614504609,0.27342449958408327,4.283692564895669,0.27808911233185196,-0.1158705465178473,-0.24765898615326215,-0.11559762140716823,-0.25292438459453126,0.005272467056450741,-0.004664612747768748,0.3262259765475055,0.2734244995840832,1024.18,2.9372000000000003,30,Z1,30-Z1,12,7,0.20351289086981464,0.30277691438312254,19,0.8,all,chi,0.15989121193287126,0.10190752628615898
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Management,-0.10505358,-0.12718135,5.516877929928874,0.3663179746754984,4.021675391722036,0.358924848706481,-0.2359200499865207,-0.28023309687600534,-0.2286664887954568,-0.2766562558861222,0.008087517630238359,0.007393125969017311,0.4338632562854203,0.3663179746754983,1218.16,5.490350964903509,31,Z2,31-Z2,14,3,0.32276096484831157,0.6164441745383021,17,0.8,all,chi,0.26491605326259765,0.24361085067308547
11-9081.00,Lodging Managers,Management,-0.098537855,-0.16884822,5.348577032057792,0.42302533011234916,4.184423362393304,0.4256058127729951,-0.2143841502501681,-0.3646777564346025,-0.2144104268221054,-0.36765265773026085,0.0029750173406456926,-0.002580482660646033,0.4608825046668355,0.42302533011234905,1937.23,4.8898110188981105,30,Z2,30-Z2,22,2,0.18583341162151554,0.3079464503979877,24,0.8,all,chi,0.18132799489024495,0.11215684646740998
11-9111.00,Medical and Health Services Managers,Management,-0.20970562,-0.017895838,6.281700413602087,0.4517140243675519,3.226830571252121,0.45862101511715253,-0.4491682315640916,-0.04789007792764307,-0.4569559675102196,-0.03904458046754484,0.011785230438273953,-0.006906990749600772,0.520502261163174,0.45171402436755176,1514.3,6.2501250125012495,35,Z2,35-Z2,17,1,0.2820716555439926,0.38151317011641916,18,0.8,all,chi,0.266061761591857,0.11779820835662959
11-9121.00,Natural Sciences Managers,Management,-0.19901772,0.13250367,0.7126567837387855,0.5286807132889546,2.554077163667029,0.5212229638468885,-0.4339600664395266,0.3019635033236953,-0.4338245045261126,0.28891119278077076,0.01305301450015696,0.007457749442066008,0.5757417469085431,0.5286807132889545,1258.93,8.534153415341533,4,Z2,04-Z2,14,2,0.24605735395146902,0.31376529117101853,16,0.8,all,chi,0.2400202674685146,0.09033465758554614
11-9121.01,Clinical Research Coordinators,Management,-0.21726125,0.058665905,0.3658366492268337,0.49103100151960954,2.8773902669728564,0.490442063782597,-0.47438786943528666,0.12675801270925682,-0.4734242617953235,0.12807375324743933,0.0016308626084413698,0.0005889377370124071,0.5335171806372944,0.49103100151960943,2132.29,5.2875,2,Z2,02-Z2,26,7,0.24742642431131454,0.33294039588716046,33,0.8,all,chi,0.2222916330420233,0.13114934205235618
11-9121.02,Water Resource Specialists,Management,-0.119274,0.21231349,1.1597877552055158,0.5400940857028608,2.0828524311563847,0.5310214557641169,-0.2663637957072403,0.4698424733329678,-0.26018493714127683,0.46291207044819177,0.009284868190959519,0.009072629938743804,0.5728816742047359,0.5400940857028607,1881.78,7.0,6,Z2,06-Z2,20,1,0.22679093780119405,0.3086570513731915,21,0.8,all,chi,0.2081871476718039,0.11698587890008744
11-9131.00,Postmasters and Mail Superintendents,Management,-0.07477957,-0.14507356,5.2876888612036765,0.35650268597442764,4.236782414890694,0.354675193114688,-0.1616352365121558,-0.317754961290364,-0.16239788908414507,-0.3153116208323996,0.0025595998787090817,0.0018274928597395435,0.37374504699184635,0.3565026859744275,717.45,3.026702670267026,30,Z2,30-Z2,8,5,0.15356263186397098,0.2501855483628827,13,0.8,all,chi,0.1482835814182606,0.08353753472730512
11-9141.00,"Property, Real Estate, and Community Association Managers",Management,-0.077745676,-0.05145882,5.808345001326737,0.19823026208649389,3.725034661397235,0.20243639834852115,-0.16585851638188934,-0.10856421763398186,-0.16894762757385015,-0.11152217050205206,0.004276925662905807,-0.004206136262027316,0.3051870531827501,0.19823026208649383,1545.0,5.35,33,Z1,33-Z1,17,10,0.2654529210166561,0.38120052362058465,27,0.8,all,chi,0.23665687641491867,0.13661674504775898
11-9151.00,Social and Community Service Managers,Management,-0.25658682,-0.033342637,6.255888651472596,0.560762789167396,3.2706179424657607,0.5642475577622243,-0.5558823019138303,-0.07382257198024543,-0.5595574070886945,-0.07260037612031868,0.0038730041009965442,-0.0034847685948284912,0.6045932913216366,0.5607627891673959,1025.04,6.307330733073307,35,Z2,35-Z2,12,4,0.24170026143978285,0.3212937563895769,16,0.8,all,chi,0.20738110175703173,0.1382043283499812
11-9161.00,Emergency Management Directors,Management,-0.20980623,0.07680981,0.45833860271502597,0.4878739578638019,2.7905974776650404,0.4868187586491084,-0.4576893720003202,0.1689421129252356,-0.4571379077467638,0.16738410042047042,0.0016527297988343892,0.0010551992146933253,0.5280056878395946,0.4878739578638017,2063.62,5.954404559544045,2,Z2,02-Z2,21,2,0.21063943436249016,0.29093992871181945,23,0.8,all,chi,0.19160873438937337,0.10912644010556014
11-9171.00,Funeral Home Managers,Management,-0.10632939,-0.08001112,5.711507761681477,0.2896802883077612,3.786206084133851,0.28928714996510246,-0.225899797561384,-0.18133932528768648,-0.23123650860910366,-0.17382960686029178,0.009212836461459878,0.0003931383426586943,0.3876015196984007,0.28968028830776116,2089.28,4.0245,32,Z1,32-Z1,23,0,0.23706481299431204,0.3179352089679914,23,0.8,all,chi,0.19084302784094415,0.15437752905315055
11-9179.01,Fitness and Wellness Coordinators,Management,-0.16825353,-0.023365296,6.258915553191077,0.36679830181810846,3.279080013698127,0.3700261737402328,-0.3637504423099518,-0.0471869678615033,-0.366534418660965,-0.05071379683779743,0.004493222334920513,-0.0032278719221244256,0.47142318691407664,0.36679830181810835,2111.52,6.807419258074192,35,Z2,35-Z2,22,2,0.27495999889470807,0.3793746171279164,24,0.8,all,chi,0.23116646550568112,0.17086414264522382
11-9179.02,Spa Managers,Management,-0.09811657,-0.08803223,5.634593627231182,0.2836286642012505,3.87313638765278,0.2868838332369581,-0.20688396423774255,-0.19402124754227856,-0.2134828962433749,-0.19164390620176577,0.007014104038597533,-0.0032551690357076613,0.4273308328942902,0.28362866420125044,1905.82,4.2203,32,Z1,32-Z1,21,0,0.28721481913438585,0.3750225103624197,21,0.8,all,chi,0.24114077309064932,0.16126385270018204
11-9199.01,Regulatory Affairs Managers,Management,-0.17461811,0.12278399,0.7123369360207381,0.46249038490220734,2.5284940647214587,0.46492879933648723,-0.3797131449082614,0.2640365196537582,-0.3802508545697311,0.26752210385584363,0.0035268156898065287,-0.0024384144342800562,0.49148709133183477,0.4624903849022072,2421.72,6.4348,4,Z2,04-Z2,26,1,0.19698929450840555,0.2622635254253522,27,0.8,all,chi,0.1924606742588692,0.08542449218450256
11-9199.02,Compliance Managers,Management,-0.19111252,0.080649614,0.5083751527167845,0.45238650894425975,2.742251562399901,0.45174946963175144,-0.4160312296120998,0.17768390321641114,-0.41620464013410735,0.17564532684761905,0.0020459386160245584,0.0006370393125081919,0.49392337156287186,0.45238650894425964,1710.91,5.653534646535347,2,Z2,02-Z2,20,9,0.21461792554055606,0.3610374569037676,29,0.8,all,chi,0.1539101597266482,0.1628718522041928
11-9199.08,Loss Prevention Managers,Management,-0.09551789,0.049229365,0.5849617308019239,0.235607390705208,2.665799528396298,0.23308387442143055,-0.2089577010839869,0.10884632153918522,-0.20719518213351337,0.10676258247141376,0.0027291833125195806,0.0025235162837774217,0.31460302539631174,0.23560739070520798,2368.15,4.954604539546046,3,Z1,03-Z1,26,1,0.2149969418786188,0.2757975750105106,27,0.8,all,chi,0.19699507960350995,0.12140859073814049
11-9199.09,Wind Energy Operations Managers,Management,0.0083530415,0.036710445,1.956144276174978,0.07854151108681394,1.3497762250957535,0.08140016174005205,0.021751781445066943,0.07546939093278912,0.01784495241178193,0.07942004787664052,0.005556168048513289,-0.0028586506532381345,0.23122523067376888,0.07854151108681391,1537.22,4.7231,11,Z1,11-Z1,16,0,0.2180016313092506,0.31240782834079056,16,0.8,all,chi,0.2360987692264972,0.11161450524236108
11-9199.10,Wind Energy Development Managers,Management,-0.052251372,0.15088707,1.3306658436538474,0.34450548672170606,1.9040826625033798,0.3471237976321091,-0.11646644802185883,0.3242215243726597,-0.11356164956957017,0.3280223812936788,0.004783760799044733,-0.0026183109104031543,0.3797024534044615,0.34450548672170594,1386.99,6.088991100889912,7,Z2,07-Z2,15,0,0.18508559745631992,0.23138104080620242,15,0.8,all,chi,0.18934599360283877,0.09301629057546498
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,-0.09759438,0.20647617,1.2247179664152823,0.4937396409006992,2.012019107641547,0.4977173683496464,-0.21512050967770097,0.44441197026268037,-0.21254794220044265,0.4500510537964053,0.006198174451027898,-0.00397772744894731,0.5257744878138984,0.4937396409006991,1811.65,6.409199999999999,7,Z2,07-Z2,20,3,0.24168604648206493,0.30689039361232856,23,0.8,all,chi,0.27668969995271175,0.10214844226314215
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,-0.18131301,-0.07290251,6.019836546660212,0.41853478192355625,3.5236730076372975,0.42550402561573,-0.3905009817052341,-0.15059995672989782,-0.3948213476045075,-0.1586498638226722,0.00913600381490199,-0.006969243692173832,0.45828179756078624,0.41853478192355614,815.97,4.699,34,Z2,34-Z2,9,5,0.23867161511925156,0.3032183022624682,14,0.8,all,chi,0.23946284978624083,0.13420682945741935
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations,0.021021256,-0.080458604,4.556813292313912,0.18168712156362007,4.967961259172002,0.18030222190322043,0.046762475825454834,-0.17556617270062988,0.045580246723041805,-0.17444578622570617,0.0016287822149643886,0.0013848996603995911,0.234506748296921,0.18168712156362002,502.57,5.4675,26,Z1,26-Z1,6,6,0.28610010509299194,0.4512253303224733,12,0.8,all,chi,0.2226646180150119,0.20082740995188078
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Business and Financial Operations,-0.036168665,0.013963133,0.4703821358433202,0.08728847521072819,2.764780207908595,0.08412495217611721,-0.08151800551261716,0.031210457892488885,-0.07822293438126168,0.03095448457685631,0.0033049986534049013,0.0031635230346109544,0.2841548537385211,0.08728847521072816,867.27,3.9402,2,Z1,02-Z1,10,10,0.329282978468152,0.47526187713457524,20,0.8,all,chi,0.2951707159399931,0.15931945336125572
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations,-0.07963786,0.037144292,0.5510281711911083,0.194312806801322,2.7038632379950296,0.19094216424806712,-0.1752803574276943,0.08387051440779178,-0.1729394613823772,0.08093733863001118,0.003752774232263384,0.003370642553254838,0.31039629559399506,0.19431280680132196,1650.0,5.4,3,Z1,03-Z1,17,2,0.2616123806257717,0.37586032336869324,19,0.8,all,chi,0.2174527287655868,0.14053649423774248
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,-0.1091697,0.057116695,0.5889222533398779,0.27084352539907736,2.6587016731344137,0.26763188307364455,-0.23971081388476712,0.12607514012406712,-0.23702984283015674,0.12427259732320776,0.003230598449914282,0.003211642325432751,0.3365283915605313,0.2708435253990773,1886.29,5.248224822482248,3,Z1,03-Z1,21,6,0.2010797676356655,0.30999092721389737,27,0.8,all,chi,0.17203083237775046,0.11188269566918324
13-1032.00,"Insurance Appraisers, Auto Damage",Business and Financial Operations,0.07421379,0.10900092,2.2785260685123303,0.28961134906409336,0.9732911887033382,0.28590143699913484,0.16424236206962933,0.23853549003976932,0.16084289355370598,0.2363666543136774,0.004032398119919057,0.003709912064958465,0.30067596919615064,0.2896113490640933,649.87,3.4155,13,Z1,13-Z1,7,0,0.1340000826351681,0.16687735793960687,7,0.8,all,chi,0.13079182000245618,0.07617279979834089
13-1041.01,Environmental Compliance Inspectors,Business and Financial Operations,-0.09606252,0.12238934,0.9831845272846913,0.3368993369319344,2.236489600057404,0.3385243767453414,-0.2150576972970551,0.2593286525983299,-0.2090741895288439,0.2662456326847051,0.009145872223443466,-0.0016250398134070587,0.3781042929040268,0.33689933693193436,1280.0,5.45,5,Z2,05-Z2,15,11,0.27144906525423623,0.35652202102167135,26,0.8,all,chi,0.22945718475630872,0.16058423414424144
13-1041.03,Equal Opportunity Representatives and Officers,Business and Financial Operations,-0.20299354,0.036032602,0.2980434494862741,0.44665388408449486,2.9658587267712284,0.448951457802095,-0.4383343772630974,0.0858059780967384,-0.4420369279174751,0.07849054605433178,0.00819905039106984,-0.0022975737176001987,0.482811718415892,0.4466538840844948,941.79,6.1438999999999995,1,Z2,01-Z2,11,7,0.21682232585450642,0.3398564212566334,18,0.8,all,chi,0.2114492641271017,0.1290474092600276
13-1041.04,Government Property Inspectors and Investigators,Business and Financial Operations,-0.064281255,0.1702904,1.2996001307718625,0.39632334525378776,1.931719509685374,0.3959961202693198,-0.1455050730897123,0.36864680616860157,-0.13984131236002584,0.370482569935185,0.005953840290924779,0.00032722498446791093,0.4242109744649338,0.3963233452537877,243.54000000000002,4.6826,7,Z2,07-Z2,3,10,0.24668292820102622,0.33707084995498304,13,0.8,all,chi,0.2071489432365541,0.16420187377837625
