skill,theta_max_rad,theta_max_deg,resultant_R,I_max_kde,n_used,circ_std_deg,sector,I_min,I_p10,I_p25,I_med,I_p75,I_p90,I_max,I_mean,I_std,I_range,I_iqr,I_contrast,I_peak_over_med
Writing,0.398235,22.817175,0.728541,1.000000,878,45.600437,NE,0.003227,0.004249,0.005789,0.117009,0.607276,0.808233,1.000000,0.302890,0.330948,0.996773,0.601488,0.993566,0.882991
Monitoring,0.401821,23.022660,0.613234,1.000000,878,56.662494,NE,0.022714,0.037130,0.061746,0.186586,0.527227,0.867803,1.000000,0.334930,0.313361,0.977286,0.465480,0.955581,0.813414
Active Learning,0.467679,26.796012,0.711614,1.000000,878,47.262606,NE,0.004741,0.010680,0.018151,0.133427,0.688114,0.891545,1.000000,0.338171,0.355353,0.995259,0.669963,0.990563,0.866573
Reading Comprehension,0.468109,26.820687,0.710106,1.000000,878,47.409645,NE,0.006114,0.010180,0.014772,0.139930,0.677912,0.919301,1.000000,0.341769,0.357973,0.993886,0.663139,0.987846,0.860070
Management of Financial Resources,0.497876,28.526216,0.500219,1.000000,878,67.439277,NE,0.095111,0.109998,0.137960,0.317849,0.734170,0.861297,1.000000,0.426482,0.307192,0.904889,0.596210,0.826298,0.682151
Judgment and Decision Making,0.527126,30.202116,0.723805,1.000000,878,46.067638,NE,0.006762,0.011448,0.021300,0.120197,0.684946,0.887190,1.000000,0.329364,0.353733,0.993238,0.663647,0.986566,0.879803
Critical Thinking,0.527221,30.207538,0.725159,1.000000,878,45.934210,NE,0.008337,0.011168,0.020246,0.120358,0.714839,0.907970,1.000000,0.340422,0.362713,0.991663,0.694593,0.983463,0.879642
Management of Material Resources,0.632873,36.260966,0.397101,1.000000,878,77.870210,NE,0.153623,0.172016,0.215122,0.374585,0.783101,0.913076,1.000000,0.495636,0.294180,0.846377,0.567979,0.733668,0.625415
Complex Problem Solving,0.644298,36.915554,0.683439,1.000000,878,49.989907,NE,0.008800,0.018109,0.037241,0.162501,0.839596,0.942150,1.000000,0.387634,0.384761,0.991200,0.802355,0.982554,0.837499
Systems Evaluation,0.730058,41.829232,0.689784,1.000000,878,49.379307,NE,0.003988,0.009610,0.038252,0.171734,0.920858,0.973507,1.000000,0.404334,0.401395,0.996012,0.882606,0.992055,0.828266
Systems Analysis,0.821066,47.043618,0.676359,1.000000,878,50.669132,NE,0.007435,0.012937,0.036709,0.178227,0.789574,0.962900,1.000000,0.385902,0.374711,0.992565,0.752865,0.985241,0.821773
Operations Analysis,0.849901,48.695749,0.559421,1.000000,878,61.754768,NE,0.040137,0.048541,0.099133,0.217963,0.760904,0.880730,1.000000,0.407808,0.335609,0.959863,0.661771,0.922824,0.782037
Science,0.942149,53.981157,0.572342,1.000000,878,60.528740,NE,0.045408,0.050154,0.074940,0.245303,0.777611,0.877514,1.000000,0.413518,0.341408,0.954592,0.702671,0.913130,0.754697
Mathematics,1.030284,59.030943,0.600937,1.000000,878,57.824173,NE,0.041640,0.054298,0.082186,0.177694,0.574797,0.931482,1.000000,0.359844,0.322144,0.958360,0.492611,0.920048,0.822306
Programming,1.179831,67.599361,0.636253,1.000000,878,54.485799,N,0.022244,0.029850,0.059754,0.210901,0.430762,0.887018,1.000000,0.306802,0.303933,0.977756,0.371007,0.956481,0.789099
Technology Design,1.528135,87.555680,0.572198,1.000000,878,60.542420,N,0.028310,0.036638,0.067799,0.258208,0.402819,0.799711,1.000000,0.313124,0.277399,0.971690,0.335021,0.944939,0.741792
Quality Control Analysis,2.508363,143.718623,0.560582,1.000000,878,61.644534,NW,0.025631,0.028286,0.054432,0.160901,0.463443,0.710909,1.000000,0.287331,0.275102,0.974369,0.409011,0.950019,0.839099
Operations Monitoring,2.759765,158.122897,0.609286,1.000000,878,57.035528,W,0.016654,0.024841,0.044429,0.120213,0.328687,0.706423,1.000000,0.244168,0.265648,0.983346,0.284258,0.967237,0.879787
Troubleshooting,2.824491,161.831399,0.674696,1.000000,878,50.828411,W,0.014913,0.019045,0.028890,0.105224,0.303297,0.736376,1.000000,0.235387,0.276082,0.985087,0.274407,0.970613,0.894776
Equipment Selection,2.879950,165.008980,0.653015,1.000000,878,52.895852,W,0.023141,0.026040,0.037639,0.097602,0.301642,0.727169,1.000000,0.233522,0.271670,0.976859,0.264004,0.954765,0.902398
Installation,2.880437,165.036873,0.773505,1.000000,878,41.063385,W,0.004658,0.007231,0.010432,0.077573,0.210809,0.720974,1.000000,0.201464,0.280091,0.995342,0.200378,0.990728,0.922427
Repairing,3.010076,172.464622,0.706273,1.000000,878,47.782951,W,0.020462,0.029015,0.034724,0.077791,0.219332,0.725264,1.000000,0.217045,0.274321,0.979538,0.184608,0.959897,0.922209
Equipment Maintenance,3.016409,172.827514,0.713631,1.000000,878,47.065569,W,0.018195,0.027428,0.032937,0.077437,0.217568,0.726000,1.000000,0.215270,0.274207,0.981805,0.184631,0.964260,0.922563
Operation and Control,3.022419,173.171872,0.700928,1.000000,878,48.302080,W,0.015721,0.023585,0.042726,0.071471,0.205217,0.710558,1.000000,0.210326,0.270591,0.984279,0.162491,0.969045,0.928529
Service Orientation,6.175571,353.834181,0.729631,1.000000,878,45.492760,E,0.014029,0.021261,0.025880,0.117711,0.329007,0.774665,1.000000,0.241061,0.287769,0.985971,0.303127,0.972330,0.882289
