ability,theta_max_rad,theta_max_deg,resultant_R,I_max_kde,n_used,circ_std_deg,sector,I_min,I_p10,I_p25,I_med,I_p75,I_p90,I_max,I_mean,I_std,I_range,I_iqr,I_contrast,I_peak_over_med
Information Ordering,0.858728,49.201473,0.595173,1.000000,878,58.368812,NE,0.009963,0.026413,0.073543,0.254151,0.893751,0.953458,1.000000,0.434168,0.373156,0.990037,0.820208,0.980271,0.745849
Near Vision,0.860651,49.311672,0.321675,1.000000,878,86.294903,NE,0.130204,0.147451,0.218124,0.457088,0.729774,0.851506,1.000000,0.485509,0.272416,0.869796,0.511650,0.769592,0.542912
Number Facility,0.872541,49.992909,0.590849,1.000000,878,58.777508,NE,0.039191,0.052253,0.112162,0.201235,0.653276,0.940776,1.000000,0.385163,0.332201,0.960809,0.541114,0.924574,0.798765
Mathematical Reasoning,0.887141,50.829451,0.622291,1.000000,878,55.806633,NE,0.026690,0.038619,0.076239,0.194402,0.643717,0.931034,1.000000,0.374342,0.338790,0.973310,0.567478,0.948009,0.805598
Flexibility of Closure,1.070884,61.357129,0.512042,1.000000,878,66.292413,NE,0.034392,0.055398,0.123402,0.324856,0.776974,0.913700,1.000000,0.422503,0.326640,0.965608,0.653572,0.933503,0.675144
Far Vision,1.914779,109.708737,0.155360,1.000000,878,110.567859,N,0.114464,0.161261,0.268991,0.535957,0.598206,0.748322,1.000000,0.477313,0.227312,0.885536,0.329214,0.794584,0.464043
Selective Attention,1.946134,111.505252,0.151249,1.000000,878,111.361213,N,0.139944,0.152043,0.297076,0.433132,0.564444,0.734364,1.000000,0.449798,0.217885,0.860056,0.267369,0.754472,0.566868
Perceptual Speed,2.286428,131.002678,0.379988,1.000000,878,79.705683,NW,0.046996,0.067126,0.157835,0.376558,0.531106,0.801004,1.000000,0.389286,0.259378,0.953004,0.373271,0.910227,0.623442
Visualization,2.508760,143.741347,0.458584,1.000000,878,71.544601,NW,0.054481,0.058354,0.107638,0.240783,0.488294,0.735784,1.000000,0.322745,0.264576,0.945519,0.380657,0.896668,0.759217
Visual Color Discrimination,2.681228,153.623053,0.405182,1.000000,878,77.016179,NW,0.088700,0.105053,0.133649,0.260434,0.418192,0.764357,1.000000,0.330498,0.244768,0.911300,0.284543,0.837053,0.739566
Hearing Sensitivity,3.051955,174.864139,0.520412,1.000000,878,65.484577,W,0.047043,0.052380,0.071407,0.139239,0.214837,0.727779,1.000000,0.239478,0.260856,0.952957,0.143430,0.910142,0.860761
Finger Dexterity,3.194660,183.040530,0.524517,1.000000,878,65.089501,W,0.050555,0.071552,0.091198,0.126536,0.210011,0.726500,1.000000,0.241230,0.258152,0.949445,0.118813,0.903756,0.873464
Auditory Attention,3.220718,184.533527,0.504928,1.000000,878,66.981670,W,0.043108,0.068025,0.096193,0.140389,0.187731,0.695282,1.000000,0.233827,0.251264,0.956892,0.091539,0.917347,0.859611
Control Precision,3.222399,184.629842,0.662610,1.000000,878,51.982650,W,0.023762,0.044523,0.052931,0.093889,0.181114,0.698416,1.000000,0.206131,0.265484,0.976238,0.128183,0.953580,0.906111
Depth Perception,3.224780,184.766309,0.725956,1.000000,878,45.855612,W,0.021837,0.029706,0.041700,0.060133,0.156323,0.687997,1.000000,0.187306,0.268834,0.978163,0.114623,0.957259,0.939867
Spatial Orientation,3.227083,184.898216,0.465348,1.000000,878,70.869594,W,0.093571,0.117435,0.127119,0.166236,0.220288,0.750353,1.000000,0.270180,0.249915,0.906429,0.093169,0.828870,0.833764
Glare Sensitivity,3.240675,185.677025,0.547537,1.000000,878,62.885883,W,0.067719,0.082400,0.102182,0.127558,0.215835,0.735130,1.000000,0.244484,0.258590,0.932281,0.113654,0.873152,0.872442
Sound Localization,3.254919,186.493143,0.537533,1.000000,878,63.841188,W,0.070275,0.078573,0.101249,0.137352,0.209790,0.748219,1.000000,0.245431,0.260323,0.929725,0.108542,0.868679,0.862648
Rate Control,3.255542,186.528807,0.693901,1.000000,878,48.982064,W,0.028031,0.034696,0.050173,0.074476,0.180455,0.693832,1.000000,0.199835,0.266695,0.971969,0.130281,0.945467,0.925524
Reaction Time,3.256041,186.557381,0.688133,1.000000,878,49.538328,W,0.024825,0.040158,0.054039,0.072114,0.177999,0.692293,1.000000,0.200354,0.266182,0.975175,0.123960,0.951552,0.927886
Arm-Hand Steadiness,3.261254,186.856118,0.505280,1.000000,878,66.947517,W,0.046539,0.076749,0.100572,0.131384,0.218876,0.721836,1.000000,0.243260,0.254956,0.953461,0.118304,0.911061,0.868616
Night Vision,3.278298,187.832641,0.490452,1.000000,878,68.392484,W,0.079298,0.103217,0.122764,0.138762,0.212959,0.743244,1.000000,0.256105,0.253429,0.920702,0.090195,0.853056,0.861238
Wrist-Finger Speed,3.279109,187.879085,0.584986,1.000000,878,59.331797,W,0.044369,0.069673,0.086351,0.109935,0.201298,0.718871,1.000000,0.226855,0.260463,0.955631,0.114947,0.915033,0.890065
Response Orientation,3.315464,189.962098,0.569788,1.000000,878,60.770830,W,0.031327,0.051871,0.081795,0.117122,0.185913,0.715744,1.000000,0.224465,0.261263,0.968673,0.104118,0.939249,0.882878
Peripheral Vision,3.317314,190.068101,0.504593,1.000000,878,67.014192,W,0.084707,0.093091,0.112019,0.132901,0.210314,0.729646,1.000000,0.249962,0.253732,0.915293,0.098295,0.843817,0.867099
Multilimb Coordination,3.354957,192.224864,0.633677,1.000000,878,54.729648,W,0.017452,0.035795,0.065673,0.096419,0.181384,0.702323,1.000000,0.209055,0.264701,0.982548,0.115711,0.965694,0.903581
Manual Dexterity,3.358006,192.399580,0.592809,1.000000,878,58.592185,W,0.021103,0.049704,0.081235,0.109566,0.207658,0.716248,1.000000,0.225318,0.262663,0.978897,0.126423,0.958666,0.890434
Extent Flexibility,3.448748,197.598689,0.650026,1.000000,878,53.179788,W,0.012608,0.023931,0.056588,0.103752,0.204767,0.732581,1.000000,0.217671,0.271534,0.987392,0.148179,0.975098,0.896248
Gross Body Equilibrium,3.458649,198.165973,0.533030,1.000000,878,64.272365,W,0.032500,0.048596,0.092753,0.145953,0.210117,0.737906,1.000000,0.244376,0.260542,0.967500,0.117364,0.937047,0.854047
Speed of Limb Movement,3.493330,200.153092,0.555533,1.000000,878,62.124412,W,0.027388,0.046787,0.067182,0.129756,0.180259,0.690205,1.000000,0.222588,0.255763,0.972612,0.113076,0.946684,0.870244
Static Strength,3.525614,202.002821,0.632480,1.000000,878,54.843004,W,0.010656,0.018735,0.045994,0.106124,0.185030,0.698658,1.000000,0.208469,0.265045,0.989344,0.139036,0.978913,0.893876
Dynamic Strength,3.544106,203.062314,0.558883,1.000000,878,61.805938,SW,0.021156,0.033971,0.062406,0.137072,0.198815,0.705959,1.000000,0.228681,0.259712,0.978844,0.136409,0.958564,0.862928
Trunk Strength,3.572806,204.706687,0.594955,1.000000,878,58.389413,SW,0.019326,0.028225,0.055832,0.131977,0.209452,0.710152,1.000000,0.226364,0.261769,0.980674,0.153620,0.962081,0.868023
Gross Body Coordination,3.585596,205.439536,0.492996,1.000000,878,68.143650,SW,0.029476,0.047042,0.075328,0.172239,0.225072,0.713723,1.000000,0.248845,0.253942,0.970524,0.149744,0.942737,0.827761
Stamina,3.623366,207.603589,0.514943,1.000000,878,66.012079,SW,0.019055,0.036332,0.062453,0.163647,0.213325,0.703132,1.000000,0.238688,0.255735,0.980945,0.150873,0.962602,0.836353
Explosive Strength,3.680168,210.858110,0.338666,1.000000,878,84.313988,SW,0.060801,0.073729,0.138261,0.237670,0.339145,0.737010,1.000000,0.304426,0.241765,0.939199,0.200884,0.885368,0.762330
Dynamic Flexibility,3.686900,211.243829,0.519257,1.000000,878,65.595820,SW,0.019462,0.029187,0.052887,0.148207,0.274845,0.711005,1.000000,0.240579,0.260603,0.980538,0.221957,0.961819,0.851793
Time Sharing,5.831456,334.117832,0.099166,1.000000,878,123.178198,SE,0.287376,0.305463,0.335736,0.390835,0.738850,0.943466,1.000000,0.527581,0.237343,0.712624,0.403114,0.553547,0.609165
